Transaction ID,Member ID,Date,Payment Method,Payment Amount,Discount,On Account,Transaction Amount,Amount Due,Amount Paid,Type,Amount Due For Line Item,Actual Paid,Item ID,Item Name,Membership Type,Applicable Taxes,Project ID,Project Name,Handled By,Notes,Renewal
1610443,1886,1/5/2020 4:06 PM,,,,,0.5,0.50,9.50,Late Fee,0.1,0.1,6912.0,"Clamp, Quick Grip",,,,,tus,,
1610443,1886,1/5/2020 4:06 PM,,,,,0.5,0.50,9.50,Late Fee,0.1,0.1,6817.0,"Saw, Hack",,,,,tus,,
1610443,1886,1/5/2020 4:06 PM,,,,,0.5,0.50,9.50,Late Fee,0.1,0.1,6907.0,"Clamp, Quick Grip",,,,,tus,,
1610443,1886,1/5/2020 4:06 PM,,,,,0.5,0.50,9.50,Late Fee,0.1,0.1,6910.0,"Clamp, Quick Grip",,,,,tus,,
1610443,1886,1/5/2020 4:06 PM,On Account,,,(9.00),0.5,0.50,9.50,,,,,,,,,,,,
1610443,1886,1/5/2020 4:06 PM,Cash,10.00,,,0.5,0.50,9.50,,,,,,,,,,,,
1610443,1886,1/5/2020 4:06 PM,Cash,(0.50),,,0.5,0.50,9.50,,,,,,,,,,,,
1610451,942,1/5/2020 4:15 PM,,,,,10.0,10.00,10.00,Membership Fee,,10.0,,,regular,,,,tus,,
1610451,942,1/5/2020 4:15 PM,,,,,10.0,10.00,10.00,Check Out,,,4638.0,Auger,,,,,tus,,
1610451,942,1/5/2020 4:15 PM,,,,,10.0,10.00,10.00,Check Out,,,5110.0,Auger,,,,,tus,,
1610451,942,1/5/2020 4:15 PM,External Credit/Debit,10.00,,,10.0,10.00,10.00,,,,,,,,,,,,
1610456,2491,1/5/2020 4:22 PM,,,,,,,,Loan Return,,,6618.0,Axe,,,,,tus,,
1610456,2491,1/5/2020 4:22 PM,,,,,,,,Loan Return,,,4797.0,Pickaxe,,,,,tus,,
1610456,2491,1/5/2020 4:22 PM,,,,,,,,Loan Return,,,4758.0,Pick,,,,,tus,,
1610468,2688,1/5/2020 4:35 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,min,,
1610470,2439,1/5/2020 4:37 PM,,,,,,,,Check Out,,,7531.0,"Drill, Cordless",,,,,tus,,
1610472,2688,1/5/2020 4:40 PM,,,,,20.0,20.00,20.00,Membership Fee,,20.0,,,regular,,,,tus,,
1610472,2688,1/5/2020 4:40 PM,External Credit/Debit,20.00,,,20.0,20.00,20.00,,,,,,,,,,,,
1610478,2689,1/5/2020 4:46 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,sin,,
1610483,2284,1/5/2020 4:47 PM,,,,,,,,Loan Return,,,5068.0,"Drill Press, Manual",,,,,tus,,
1610483,2284,1/5/2020 4:47 PM,,,,,,,,Loan Return,,,7443.0,Random Orbit Sander,,,,,tus,,
1610483,2284,1/5/2020 4:47 PM,,,,,,,,Loan Return,,,7605.0,Tarp,,,,,tus,,
1610483,2284,1/5/2020 4:47 PM,,,,,,,,Check Out (Renewal),,,7443.0,Random Orbit Sander,,,,,tus,,Renewal
1610483,2284,1/5/2020 4:47 PM,,,,,,,,Check Out (Renewal),,,5068.0,"Drill Press, Manual",,,,,tus,,Renewal
1610483,2284,1/5/2020 4:47 PM,On Account,,,,,,,,,,,,,,,,,,
1610485,2689,1/5/2020 4:48 PM,,,,,8.0,8.00,8.00,Membership Fee,,8.0,,,regular,,,,tus,,
1610485,2689,1/5/2020 4:48 PM,Cash,8.00,,,8.0,8.00,8.00,,,,,,,,,,,,
1610486,2688,1/5/2020 4:49 PM,,,,,,,,Check Out,,,6644.0,Jigsaw,,,,,tus,,
1610489,2335,1/5/2020 4:51 PM,,,,,,,,Check Out,,,5564.0,"Hammer, Claw",,,,,tus,,
1610490,1478,1/5/2020 4:52 PM,,,,,,,,Loan Return,,,5614.0,Jigsaw,,,,,tus,,
1610490,1478,1/5/2020 4:52 PM,,,,,,,,Check Out (Renewal),,,5614.0,Jigsaw,,,,,tus,,Renewal
1610490,1478,1/5/2020 4:52 PM,On Account,,,,,,,,,,,,,,,,,,
1610494,2689,1/5/2020 4:56 PM,,,,,,,,Check Out,,,103.0,Stud Finder,,,,,tus,,
1610509,2674,1/5/2020 5:18 PM,,,,,40.0,40.00,40.00,Membership Fee,,40.0,,,regular,,,,tus,,
1610509,2674,1/5/2020 5:18 PM,Cash,40.00,,,40.0,40.00,40.00,,,,,,,,,,,,
1610513,2674,1/5/2020 5:22 PM,,,,,,,,Check Out,,,7646.0,Breadboard,,,,,tus,,
1610513,2674,1/5/2020 5:22 PM,,,,,,,,Check Out,,,7648.0,Breadboard,,,,,tus,,
1610513,2674,1/5/2020 5:22 PM,,,,,,,,Check Out,,,7649.0,Breadboard,,,,,tus,,
1610513,2674,1/5/2020 5:22 PM,,,,,,,,Check Out,,,7650.0,Breadboard,,,,,tus,,
1610517,2690,1/5/2020 5:26 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,hel,,
1610518,2690,1/5/2020 5:29 PM,,,,,40.0,40.00,40.00,Membership Fee,,40.0,,,regular,,,,tus,,
1610518,2690,1/5/2020 5:29 PM,External Credit/Debit,40.00,,,40.0,40.00,40.00,,,,,,,,,,,,
1610523,1409,1/5/2020 5:37 PM,,,,,0.4,0.40,1.00,Late Fee,0.1,0.1,5090.0,Car Ramp Set,,,,,tus,,
1610523,1409,1/5/2020 5:37 PM,,,,,0.4,0.40,1.00,Late Fee,0.1,0.1,5704.0,Gravel Rake,,,,,tus,,
1610523,1409,1/5/2020 5:37 PM,,,,,0.4,0.40,1.00,Late Fee,0.1,0.1,6300.0,"Shovel, Square",,,,,tus,,
1610523,1409,1/5/2020 5:37 PM,,,,,0.4,0.40,1.00,Late Fee,0.1,0.1,3953.0,Pitchfork,,,,,tus,,
1610523,1409,1/5/2020 5:37 PM,Cash,1.00,,,0.4,0.40,1.00,,,,,,,,,,,,
1610523,1409,1/5/2020 5:37 PM,On Account,,,(0.60),0.4,0.40,1.00,,,,,,,,,,,,
1610525,2597,1/5/2020 5:40 PM,,,,,,,,Loan Return,,,6169.0,"Wrench, Basin",,,,,tus,,
1610525,2597,1/5/2020 5:40 PM,,,,,,,,Loan Return,,,7038.0,Heat Gun,,,,,tus,,
1610525,2597,1/5/2020 5:40 PM,,,,,,,,Loan Return,,,7402.0,Hole Saw Kit,,,,,tus,,
1610525,2597,1/5/2020 5:40 PM,,,,,,,,Loan Return,,,4556.0,"Drill, Corded",,,,,tus,,
1610525,2597,1/5/2020 5:40 PM,,,,,,,,Check Out (Renewal),,,7038.0,Heat Gun,,,,,tus,,Renewal
1610531,393,1/5/2020 5:46 PM,,,,,,,,Check Out,,,7384.0,"Tape Measure, 25ft",,,,,tus,,
1610531,393,1/5/2020 5:46 PM,On Account,,,,,,,,,,,,,,,,,,
1610534,1409,1/5/2020 5:48 PM,,,,,,,,Check Out,,,3790.0,Reciprocating Saw,,,,,tus,,
1610534,1409,1/5/2020 5:48 PM,,,,,,,,Check Out,,,392.0,"Sander, Belt",,,,,tus,,
1610534,1409,1/5/2020 5:48 PM,On Account,,,,,,,,,,,,,,,,,,
1610540,1129,1/5/2020 5:52 PM,,,,,,,,Loan Return,,,7415.0,Drill Bit Kit,,,,,tus,,
1610540,1129,1/5/2020 5:52 PM,,,,,,,,Loan Return,,,4934.0,"Drill, Corded",,,,,tus,,
1610540,1129,1/5/2020 5:52 PM,,,,,,,,Loan Return,,,7020.0,Jigsaw,,,,,tus,,
1610540,1129,1/5/2020 5:52 PM,,,,,,,,Loan Return,,,7251.0,"Saw, Hack",,,,,tus,,
1610540,1129,1/5/2020 5:52 PM,,,,,,,,Loan Return,,,4543.0,Stud Finder,,,,,tus,,
1610540,1129,1/5/2020 5:52 PM,,,,,,,,Loan Return,,,7493.0,Extension Cord,,,,,tus,,
1610540,1129,1/5/2020 5:52 PM,,,,,,,,Loan Return,,,5321.0,Allen Wrench Set,,,,,tus,,
1610545,2691,1/5/2020 6:16 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,kfi,,
1610546,2691,1/5/2020 6:21 PM,,,,,40.0,40.00,40.00,Membership Fee,,40.0,,,regular,,,,tus,,
1610546,2691,1/5/2020 6:21 PM,External Credit/Debit,40.00,,,40.0,40.00,40.00,,,,,,,,,,,,
1610548,2573,1/5/2020 6:33 PM,,,,,7.8,7.80,7.80,Late Fee,1.3,1.3,7249.0,"Level, Laser",,,,,tus,,
1610548,2573,1/5/2020 6:33 PM,,,,,7.8,7.80,7.80,Late Fee,1.3,1.3,212.0,Level,,,,,tus,,
1610548,2573,1/5/2020 6:33 PM,,,,,7.8,7.80,7.80,Late Fee,1.3,1.3,4609.0,"Variable Speed Router, 1/2in",,,,,tus,,
1610548,2573,1/5/2020 6:33 PM,,,,,7.8,7.80,7.80,Late Fee,1.3,1.3,4214.0,"Socket Set, SAE",,,,,tus,,
1610548,2573,1/5/2020 6:33 PM,,,,,7.8,7.80,7.80,Late Fee,1.3,1.3,7175.0,Chisel,,,,,tus,,
1610548,2573,1/5/2020 6:33 PM,,,,,7.8,7.80,7.80,Late Fee,1.3,1.3,6969.0,"Mallet, Rubber",,,,,tus,,
1610548,2573,1/5/2020 6:33 PM,External Credit/Debit,7.80,,,7.8,7.80,7.80,,,,,,,,,,,,
1610549,2511,1/5/2020 6:34 PM,,,,,,,,Check Out,,,5091.0,Angle Grinder,,,,,tus,,
1610550,2691,1/5/2020 6:39 PM,,,,,,,,Check Out,,,7651.0,Notched Trowel,,,,,tus,,
1610550,2691,1/5/2020 6:39 PM,,,,,,,,Check Out,,,5388.0,5 Gallon Bucket,,,,,tus,,
1610550,2691,1/5/2020 6:39 PM,,,,,,,,Check Out,,,4041.0,Mud Pan,,,,,tus,,
1610550,2691,1/5/2020 6:39 PM,,,,,,,,Check Out,,,6348.0,Tile Saw,,,,,tus,,
1610550,2691,1/5/2020 6:39 PM,,,,,,,,Check Out,,,6797.0,Cement Mixer Drill Attachment,,,,,tus,,
1610552,2691,1/5/2020 6:49 PM,,,,,,,,Check Out,,,6824.0,Handheld Pry Bar,,,,,tus,,
1610553,2692,1/5/2020 6:50 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,rac,,
1610554,2692,1/5/2020 6:53 PM,,,,,20.0,20.00,20.00,Membership Fee,,20.0,,,regular,,,,tus,,
1610554,2692,1/5/2020 6:53 PM,External Credit/Debit,20.00,,,20.0,20.00,20.00,,,,,,,,,,,,
1610555,2692,1/5/2020 6:53 PM,,,,,,,,Check Out,,,7130.0,"Clamp, Corner",,,,,tus,,
