Member ID,Confirmed?,Sex,Age,Member Created (M/D/YYYY),Start of first full membership (M/D/YYYY),Current Membership Type,"Latest Membership Change (request, upgrade, renewal, cancellation...) (M/D/YYYY)",Current Membership Expiration (M/D/YYYY),Renews Automatically,Automatically Pay Statements,User Note,User Warning,Opening Balance,Opening Balance Date (M/D/YYYY),Household Type,"Single, non-elderly",Elderly,Single Parent,Two Parents,Female Head of Household,Household income range,Household income range Value,Ethnicity,American Indian or Alaskan Native,Asian,Black or African American,Hispanic,White,Native Hawaiian or Pacific Islander,Other,Number of disabled people in household,Renter/Homeowner,Renter/Homeowner Value,Household Size
1213,False,female,30.0,2/12/2018,2/17/2018,regular,2/16/2019,2/17/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2002,True,,35.0,3/19/2019,3/18/2019,regular,1/18/2022,1/18/2023,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1925,False,other,35.0,1/29/2019,,Request_CheckIDAddressPhoneDOB,1/28/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1026,True,,,10/21/2017,10/21/2017,regular,10/21/2017,10/21/2018,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
157,True,male,56.0,5/17/2016,,Request_CheckIDAddressPhoneDOB,5/16/2016,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1704,False,male,50.0,9/12/2018,9/11/2018,regular,9/11/2018,9/11/2019,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
1256,True,,,3/6/2018,,Request_CheckIDAddressPhoneDOB,3/6/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2154,True,,,5/16/2019,5/15/2019,regular,5/15/2019,5/15/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3614,True,,32.0,3/21/2022,3/20/2022,regular,3/20/2022,3/20/2023,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1794,True,,39.0,10/31/2018,11/3/2018,regular,11/3/2018,11/3/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
781,True,,40.0,7/12/2017,10/8/2017,regular,5/8/2019,10/8/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1520,True,,29.0,6/26/2018,6/26/2018,regular,6/26/2018,6/26/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2912,True,,28.0,7/25/2020,7/25/2020,regular,7/25/2020,7/25/2021,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3113,True,,53.0,4/10/2021,4/10/2021,regular,4/10/2021,4/10/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
138,True,male,50.0,5/1/2016,,Request_CheckIDAddressPhoneDOB,5/1/2016,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1801,False,male,28.0,11/5/2018,11/4/2018,regular,11/4/2018,11/4/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1299,True,male,34.0,3/31/2018,3/31/2018,regular,3/6/2021,3/6/2022,False,False,,,,,['1'],Y,,,,,1.0,Extremely Low,['7'],,,,,,,Y,,0.0,Renter,2.0
1903,False,male,27.0,1/17/2019,1/16/2019,regular,1/16/2019,1/17/2020,False,False,,,,,['1'],Y,,,,,3.0,Moderate,['4'],,,,Y,,,,,0.0,Renter,3.0
2775,False,,36.0,2/17/2020,2/16/2020,regular,6/5/2021,6/5/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
719,False,male,27.0,6/5/2017,6/4/2017,regular,6/4/2017,6/4/2018,False,False,,,,,['1'],Y,,,,,4.0,High,['7'],,,,,,,Y,0,0.0,Renter,
3576,True,,23.0,2/21/2022,2/20/2022,regular,2/20/2022,2/20/2023,False,False,,,,,,,,,,,,,,,,,,,,,,,,
623,True,,,4/25/2017,4/29/2017,regular,5/4/2019,4/29/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2801,True,,1934.0,2/26/2020,,Request_CheckIDAddressPhoneDOB,2/25/2020,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
591,False,,33.0,4/9/2017,4/9/2017,regular,4/9/2017,4/9/2018,False,False,,,,,['1'],Y,,,,,3.0,Moderate,"['4', '5']",,,,Y,Y,,,,0.0,Renter,1.0
927,True,,,9/4/2017,9/9/2017,ExtremelyOverdueItems,2/23/2019,,False,False,Patron was emailed 01/30/2019 regarding overdue items. - Maren,"Patron has not responded to inquiries about severely overdue tools. They should return them before checking out more tools. - Maren

36	sander",,,[],,,,,,,,[],,,,,,,,,,,
448,True,male,5.0,12/19/2016,12/18/2016,regular,12/18/2016,12/18/2017,False,False,,,,,['1'],Y,,,,,3.0,Moderate,['4'],,,,Y,,,,,0.0,Renter,
660,False,female,27.0,5/11/2017,,Request_CheckIDAddressPhoneDOB,5/11/2017,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
670,False,,,5/18/2017,5/17/2017,regular,5/17/2017,5/17/2018,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1541,False,,,7/2/2018,7/1/2018,regular,7/1/2018,7/1/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3328,False,,24.0,9/18/2021,9/18/2021,regular,9/18/2021,9/18/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1387,True,,,5/4/2018,,Request_CheckIDAddressPhoneDOB,5/3/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
56,True,female,55.0,9/3/2015,5/26/2019,regular,5/26/2019,5/26/2020,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
415,True,,,11/26/2016,,Request_CheckIDAddressPhoneDOB,11/26/2016,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
420,True,male,36.0,11/29/2016,9/5/2018,regular,9/5/2018,9/5/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
734,False,female,38.0,6/13/2017,6/14/2017,regular,5/16/2018,6/14/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
868,False,male,1968.0,8/12/2017,8/12/2017,regular,8/12/2017,8/12/2018,False,False,,,,,['4'],,,,Y,,4.0,High,['5'],,,,,Y,,,,1.0,Homeowner,
890,False,,,8/19/2017,8/30/2017,regular,8/30/2017,8/30/2018,False,False,,,,,,,,,,,,,,,,,,,,,,,,
966,False,female,32.0,9/18/2017,9/17/2017,regular,9/17/2017,9/18/2018,False,False,Patron was emailed 01/23/2019 regarding overdue items. - Maren,"Patron has not responded to inquiries about severely overdue tools. They should return them before checking out more tools. - Maren

3740	sander",,,[],,,,,,,,[],,,,,,,,,,,
2075,True,,39.0,4/16/2019,4/21/2019,regular,5/8/2020,4/21/2021,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
2197,True,female,23.0,6/1/2019,6/1/2019,regular,6/1/2019,6/1/2020,False,False,,,,,['1'],Y,,,,,2.0,Low,['5'],,,,,Y,,,,0.0,Renter,
2620,False,,,11/21/2019,,Request_CheckIDAddressPhoneDOB,11/21/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3025,True,,63.0,11/12/2020,2/27/2022,regular,2/27/2022,2/27/2023,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3554,True,,63.0,2/11/2022,,Request_CheckIDAddressPhoneDOB,2/11/2022,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2716,True,male,27.0,1/19/2020,1/19/2020,regular,3/1/2022,3/1/2023,False,False,,,,,['1'],Y,,,,,4.0,High,['5'],,,,,Y,,,0,0.0,Renter,
234,False,female,61.0,7/13/2016,7/13/2016,regular,1/9/2021,1/9/2022,False,False,,,,,[],,,,,,,,[],,,,,,,,,0.0,Renter,1.0
424,False,,,11/30/2016,11/30/2016,regular,3/30/2021,3/30/2022,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
68,True,male,54.0,10/27/2015,,Request_CheckIDAddressPhoneDOB,10/27/2015,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2299,False,,,7/10/2019,,Request_CheckIDAddressPhoneDOB,7/10/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2315,False,,,7/18/2019,,Request_CheckIDAddressPhoneDOB,7/17/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
217,False,female,28.0,7/6/2016,,Request_CheckIDAddressPhoneDOB,7/6/2016,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3613,False,,24.0,3/20/2022,,Request_CheckIDAddressPhoneDOB,3/20/2022,,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
1481,True,,,6/8/2018,12/19/2021,regular,12/19/2021,12/19/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2516,False,female,34.0,10/6/2019,,Request_CheckIDAddressPhoneDOB,10/6/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3653,False,,25.0,4/15/2022,,Request_CheckIDAddressPhoneDOB,4/15/2022,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
607,True,male,,4/17/2017,4/19/2017,regular,9/22/2021,9/22/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1238,True,,,3/1/2018,,Request_CheckIDAddressPhoneDOB,3/1/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1779,False,,,10/25/2018,,Request_CheckIDAddressPhoneDOB,10/24/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3188,True,,24.0,6/12/2021,6/12/2021,regular,6/12/2021,6/12/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3376,True,,46.0,10/16/2021,11/3/2021,regular,11/3/2021,11/3/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1100,False,,,12/7/2017,,Request_CheckIDAddressPhoneDOB,12/7/2017,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
636,True,male,,4/30/2017,4/30/2017,regular,8/8/2020,8/8/2021,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2464,True,female,49.0,9/17/2019,,Request_CheckIDAddressPhoneDOB,9/16/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
496,False,male,37.0,1/30/2017,,Request_CheckIDAddressPhoneDOB,1/30/2017,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1459,False,,,6/2/2018,6/2/2018,regular,6/2/2018,6/2/2019,False,False,,,,,[],,,,,,3.0,Moderate,[],,,,,,,,,1.0,Homeowner,
3500,False,,0.0,1/15/2022,,Request_CheckIDAddressPhoneDOB,1/15/2022,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2817,False,female,35.0,3/7/2020,3/7/2020,regular,3/7/2020,3/7/2021,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
379,False,,38.0,10/29/2016,10/29/2016,regular,10/29/2016,10/29/2017,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
810,True,female,43.0,7/22/2017,7/22/2017,regular,7/22/2017,7/22/2018,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2821,False,,23.0,3/8/2020,,Request_CheckIDAddressPhoneDOB,3/7/2020,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
349,False,,34.0,10/13/2016,10/12/2016,regular,10/12/2016,10/12/2017,False,False,,,,,['1'],Y,,,,,2.0,Low,['5'],,,,,Y,,,0,0.0,Renter,3.0
442,False,,,12/15/2016,12/14/2016,regular,5/11/2019,5/11/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1709,True,,,9/16/2018,,Request_CheckIDAddressPhoneDOB,9/16/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2084,False,,,4/20/2019,,Request_CheckIDAddressPhoneDOB,4/20/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1426,True,,,5/18/2018,5/23/2018,regular,7/25/2020,7/25/2021,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
2290,True,,27.0,7/8/2019,7/7/2019,regular,7/7/2019,7/7/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2813,False,,27.0,3/4/2020,,Request_CheckIDAddressPhoneDOB,3/4/2020,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
96,True,,,3/21/2016,7/24/2018,regular,7/24/2018,7/24/2019,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
1513,False,other,25.0,6/21/2018,,Request_CheckIDAddressPhoneDOB,6/20/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2601,False,female,27.0,11/11/2019,11/10/2019,regular,11/10/2019,11/10/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1332,True,male,26.0,4/14/2018,4/14/2018,regular,4/14/2018,4/14/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
387,False,male,36.0,11/4/2016,11/5/2016,regular,11/5/2016,11/5/2018,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3464,True,,0.0,12/16/2021,,Request_CheckIDAddressPhoneDOB,12/15/2021,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
829,False,,,7/30/2017,,Request_CheckIDAddressPhoneDOB,7/30/2017,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1232,False,male,31.0,2/26/2018,2/25/2018,regular,2/25/2018,2/25/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1183,True,,,1/27/2018,1/27/2018,regular,1/27/2018,1/28/2019,False,False,,,,,['1'],Y,,,,,3.0,Moderate,['5'],,,,,Y,,,0,0.0,Renter,2.0
819,False,female,34.0,7/26/2017,7/26/2017,regular,7/26/2017,7/26/2018,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2092,True,,,4/25/2019,,Request_CheckIDAddressPhoneDOB,4/24/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1221,False,,,2/19/2018,2/18/2018,regular,2/18/2018,2/18/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1137,True,male,47.0,1/5/2018,2/7/2018,regular,2/7/2018,2/7/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2300,False,female,29.0,7/11/2019,7/10/2019,regular,7/10/2019,7/10/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2253,False,,28.0,6/23/2019,6/23/2019,regular,6/23/2019,6/23/2020,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
1116,True,,,12/16/2017,12/16/2017,regular,12/16/2017,12/16/2018,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
3002,True,,26.0,10/24/2020,10/24/2020,regular,10/24/2020,10/24/2021,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2039,True,,,3/31/2019,3/31/2019,regular,3/31/2019,3/31/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1786,True,male,36.0,10/27/2018,10/27/2018,regular,10/27/2018,10/27/2019,False,False,,,,,[],,,,,,3.0,Moderate,['5'],,,,,Y,,,0,1.0,Homeowner,2.0
782,False,,,7/13/2017,7/12/2017,regular,7/12/2017,7/12/2018,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1455,True,male,,5/31/2018,5/30/2018,regular,5/30/2018,5/30/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1270,True,,,3/14/2018,9/2/2018,regular,9/2/2018,9/2/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2537,True,,21.0,10/13/2019,10/13/2019,regular,1/4/2022,1/4/2023,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
3212,False,,51.0,7/7/2021,7/6/2021,regular,7/6/2021,7/6/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1373,True,female,37.0,4/30/2018,4/29/2018,regular,7/30/2019,4/30/2020,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
3106,False,,29.0,4/6/2021,,Request_CheckIDAddressPhoneDOB,4/6/2021,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2358,True,male,28.0,8/10/2019,8/10/2019,regular,8/10/2019,8/10/2020,False,False,,,,,['1'],Y,,,,,4.0,High,['5'],,,,,Y,,,0,0.0,Renter,3.0
2701,True,male,1969.0,1/11/2020,1/11/2020,regular,1/11/2020,1/11/2021,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2870,True,,42.0,6/25/2020,,Request_CheckIDAddressPhoneDOB,6/25/2020,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
203,False,male,91.0,6/24/2016,,Request_CheckIDAddressPhoneDOB,6/24/2016,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2429,False,male,33.0,9/2/2019,9/1/2019,regular,9/1/2019,9/1/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
270,True,male,34.0,8/10/2016,8/10/2016,regular,8/22/2018,8/10/2019,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
1044,True,,,10/28/2017,10/28/2017,regular,1/5/2019,10/28/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
679,False,female,39.0,5/20/2017,5/20/2017,regular,5/20/2017,5/20/2018,False,False,,,,,['1'],Y,,,,,3.0,Moderate,['5'],,,,,Y,,,,1.0,Homeowner,1.0
3231,True,,37.0,7/19/2021,7/27/2021,regular,7/27/2021,7/27/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3079,False,,23.0,3/15/2021,,Request_CheckIDAddressPhoneDOB,3/15/2021,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
502,False,,,2/4/2017,2/4/2017,regular,2/4/2017,2/4/2018,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
1282,False,,,3/21/2018,3/21/2018,regular,3/21/2018,3/21/2019,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2058,True,,,4/8/2019,,Request_CheckIDAddressPhoneDOB,4/8/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2062,True,male,35.0,4/10/2019,4/10/2019,regular,4/10/2019,4/10/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1970,True,male,40.0,3/5/2019,,Request_CheckIDAddressPhoneDOB,3/5/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
3338,False,,32.0,9/24/2021,11/6/2021,regular,11/6/2021,11/6/2022,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1604,True,,,8/1/2018,9/23/2019,regular,9/23/2019,9/23/2020,False,False,,,,,[],,,,,,,,[],,,,,,,,,,,
49,True,,,7/15/2015,,Request_CheckIDAddressPhoneDOB,7/15/2015,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2544,True,,,10/14/2019,,Request_CheckIDAddressPhoneDOB,10/14/2019,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2094,True,,42.0,4/25/2019,4/24/2019,regular,4/24/2019,4/24/2020,False,False,,,,,,,,,,,,,,,,,,,,,,,,
815,False,male,29.0,7/23/2017,7/23/2017,regular,3/1/2020,3/1/2021,False,False,,,,,['1'],Y,,,,,4.0,High,['4'],,,,Y,,,,,0.0,Renter,2.0
1740,False,,,9/26/2018,,Request_CheckIDAddressPhoneDOB,9/26/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
2949,True,,44.0,9/5/2020,9/5/2020,regular,9/5/2020,9/5/2021,False,False,,,,,,,,,,,,,,,,,,,,,,,,
